Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[SingleHeadVGGT] Total params: 1321.8M
[SingleHeadVGGT] Trainable params: 131.3M
[SingleHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Single-Head Composite Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 2/20] Step 560/1000 | Loss: 1.2480 | L_point: 0.7597 | L_mask: 0.1178
[Epoch 2/20] Step 570/1000 | Loss: 1.3734 | L_point: 1.5947 | L_mask: 0.0501
[Epoch 2/20] Step 580/1000 | Loss: 1.2967 | L_point: 1.4362 | L_mask: 0.0905
[Epoch 2/20] Step 590/1000 | Loss: 1.4157 | L_point: 1.0531 | L_mask: 0.0102
[Epoch 2/20] Step 600/1000 | Loss: 1.5947 | L_point: 0.8216 | L_mask: 0.0254
[Epoch 2/20] Step 610/1000 | Loss: 1.1432 | L_point: 0.6992 | L_mask: 0.0822
[Epoch 2/20] Step 620/1000 | Loss: 1.6433 | L_point: 1.6409 | L_mask: 0.1354
[Epoch 2/20] Step 630/1000 | Loss: 1.3467 | L_point: 1.3859 | L_mask: 0.1559
[Epoch 2/20] Step 640/1000 | Loss: 1.5757 | L_point: 2.0550 | L_mask: 0.3302
[Epoch 2/20] Step 650/1000 | Loss: 1.3472 | L_point: 2.1426 | L_mask: 0.1111
[Epoch 2/20] Step 660/1000 | Loss: 1.4390 | L_point: 1.8999 | L_mask: 0.1095
[Epoch 2/20] Step 670/1000 | Loss: 1.4381 | L_point: 1.3900 | L_mask: 0.0868
[Epoch 2/20] Step 680/1000 | Loss: 1.1343 | L_point: 1.5242 | L_mask: 0.0785
[Epoch 2/20] Step 690/1000 | Loss: 1.3566 | L_point: 1.0872 | L_mask: 0.1056
[Epoch 2/20] Step 700/1000 | Loss: 1.5710 | L_point: 2.0180 | L_mask: 0.1972
[Epoch 2/20] Step 710/1000 | Loss: 1.3224 | L_point: 0.9435 | L_mask: 0.1080
[Epoch 2/20] Step 720/1000 | Loss: 1.1791 | L_point: 0.8923 | L_mask: 0.0456
[Epoch 2/20] Step 730/1000 | Loss: 1.2991 | L_point: 1.9717 | L_mask: 0.0878
[Epoch 2/20] Step 740/1000 | Loss: 1.3895 | L_point: 1.7614 | L_mask: 0.1165
[Epoch 2/20] Step 750/1000 | Loss: 1.3880 | L_point: 1.1712 | L_mask: 0.0824
[Epoch 2/20] Step 760/1000 | Loss: 1.2849 | L_point: 1.3190 | L_mask: 0.0153
[Epoch 2/20] Step 770/1000 | Loss: 1.2713 | L_point: 0.7464 | L_mask: 0.1592
[Epoch 2/20] Step 780/1000 | Loss: 1.3508 | L_point: 1.3656 | L_mask: 0.2765
[Epoch 2/20] Step 790/1000 | Loss: 1.3901 | L_point: 2.4712 | L_mask: 0.1241
[Epoch 2/20] Step 800/1000 | Loss: 1.4253 | L_point: 1.0775 | L_mask: 0.1581
[Epoch 2/20] Step 810/1000 | Loss: 1.3087 | L_point: 1.2879 | L_mask: 0.1784
[Epoch 2/20] Step 820/1000 | Loss: 1.3860 | L_point: 1.1457 | L_mask: 0.1137
[Epoch 2/20] Step 830/1000 | Loss: 1.7443 | L_point: 1.1788 | L_mask: 0.1439
[Epoch 2/20] Step 840/1000 | Loss: 1.2873 | L_point: 1.2877 | L_mask: 0.0486
[Epoch 2/20] Step 850/1000 | Loss: 1.1538 | L_point: 0.6995 | L_mask: 0.0811
[Epoch 2/20] Step 860/1000 | Loss: 1.7570 | L_point: 1.1234 | L_mask: 0.0638
[Epoch 2/20] Step 870/1000 | Loss: 1.2865 | L_point: 0.9378 | L_mask: 0.2051
[Epoch 2/20] Step 880/1000 | Loss: 1.1733 | L_point: 0.8916 | L_mask: 0.0560
