Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[DualHeadVGGT] Total params: 1354.5M
[DualHeadVGGT] Trainable params: 163.9M
[DualHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Dual-Head Layered Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 1/20] Step 750/1000 | Loss: 3.5687 | L_primary: 1.0074 | L_secondary: 1.1416 | L_mask: 0.0877
[Epoch 1/20] Step 760/1000 | Loss: 4.2764 | L_primary: 2.4605 | L_secondary: 2.4738 | L_mask: 0.0303
[Epoch 1/20] Step 770/1000 | Loss: 3.8210 | L_primary: 1.9222 | L_secondary: 1.9605 | L_mask: 0.1216
[Epoch 1/20] Step 780/1000 | Loss: 4.1033 | L_primary: 0.8439 | L_secondary: 2.0719 | L_mask: 0.3629
[Epoch 1/20] Step 790/1000 | Loss: 3.7006 | L_primary: 1.2475 | L_secondary: 1.2550 | L_mask: 0.2414
[Epoch 1/20] Step 800/1000 | Loss: 3.6744 | L_primary: 1.3859 | L_secondary: 1.2902 | L_mask: 0.1075
[Epoch 1/20] Step 810/1000 | Loss: 3.7303 | L_primary: 1.1757 | L_secondary: 1.4939 | L_mask: 0.1636
[Epoch 1/20] Step 820/1000 | Loss: 3.4435 | L_primary: 2.0815 | L_secondary: 1.9746 | L_mask: 0.1755
[Epoch 1/20] Step 830/1000 | Loss: 3.8897 | L_primary: 1.2734 | L_secondary: 1.4106 | L_mask: 0.1183
[Epoch 1/20] Step 840/1000 | Loss: 3.5720 | L_primary: 2.2765 | L_secondary: 2.8066 | L_mask: 0.0595
[Epoch 1/20] Step 850/1000 | Loss: 3.5395 | L_primary: 1.2580 | L_secondary: 2.0243 | L_mask: 0.0911
[Epoch 1/20] Step 860/1000 | Loss: 4.1220 | L_primary: 1.3525 | L_secondary: 2.4052 | L_mask: 0.2731
[Epoch 1/20] Step 870/1000 | Loss: 4.4177 | L_primary: 2.0086 | L_secondary: 1.9842 | L_mask: 0.0525
[Epoch 1/20] Step 880/1000 | Loss: 3.6820 | L_primary: 0.9786 | L_secondary: 1.6585 | L_mask: 0.2495
[Epoch 1/20] Step 890/1000 | Loss: 3.8287 | L_primary: 2.2884 | L_secondary: 2.7901 | L_mask: 0.0552
[Epoch 1/20] Step 900/1000 | Loss: 3.0484 | L_primary: 1.1530 | L_secondary: 1.2030 | L_mask: 0.0609
[Epoch 1/20] Step 910/1000 | Loss: 3.6490 | L_primary: 0.7973 | L_secondary: 1.5222 | L_mask: 0.3187
[Epoch 1/20] Step 920/1000 | Loss: 4.0539 | L_primary: 2.4472 | L_secondary: 2.1708 | L_mask: 0.0923
[Epoch 1/20] Step 930/1000 | Loss: 3.7844 | L_primary: 2.1452 | L_secondary: 2.4030 | L_mask: 0.0519
[Epoch 1/20] Step 940/1000 | Loss: 3.9490 | L_primary: 1.7787 | L_secondary: 1.8413 | L_mask: 0.1634
[Epoch 1/20] Step 950/1000 | Loss: 3.6168 | L_primary: 1.0963 | L_secondary: 1.4663 | L_mask: 0.1550
[Epoch 1/20] Step 960/1000 | Loss: 3.6887 | L_primary: 1.9055 | L_secondary: 1.6516 | L_mask: 0.0215
[Epoch 1/20] Step 970/1000 | Loss: 3.8927 | L_primary: 2.3564 | L_secondary: 2.4898 | L_mask: 0.0284
[Epoch 1/20] Step 980/1000 | Loss: 3.6100 | L_primary: 2.0538 | L_secondary: 1.9670 | L_mask: 0.1548
[Epoch 1/20] Step 990/1000 | Loss: 3.8419 | L_primary: 2.0826 | L_secondary: 1.7011 | L_mask: 0.0110
[Epoch 1/20] Step 1000/1000 | Loss: 3.3096 | L_primary: 1.6740 | L_secondary: 2.4923 | L_mask: 0.1782
Epoch 1 done in 2318s | Avg loss: 4.1907
[Epoch 2/20] Step 10/1000 | Loss: 4.0187 | L_primary: 2.2106 | L_secondary: 2.5434 | L_mask: 0.0515
[Epoch 2/20] Step 20/1000 | Loss: 3.4609 | L_primary: 1.9111 | L_secondary: 2.0717 | L_mask: 0.0908
[Epoch 2/20] Step 30/1000 | Loss: 3.9819 | L_primary: 1.5121 | L_secondary: 1.9823 | L_mask: 0.1805
[Epoch 2/20] Step 40/1000 | Loss: 3.7559 | L_primary: 2.2119 | L_secondary: 2.0830 | L_mask: 0.3483
[Epoch 2/20] Step 50/1000 | Loss: 4.0028 | L_primary: 1.9725 | L_secondary: 1.7757 | L_mask: 0.2088
[Epoch 2/20] Step 60/1000 | Loss: 3.4310 | L_primary: 2.2413 | L_secondary: 3.0998 | L_mask: 0.0832
